The printer needs paper.	Der Drucker braucht Papier.
Tom was obviously drunk.	Tom war ganz klar betrunken.
Tom was obviously tired.	Tom war ganz klar müde.
Tom was our interpreter.	Tom war unser Dolmetscher.
Tom was sick of his job.	Tom war seiner Arbeit überdrüssig.
Tom was such a good kid.	Tom war so ein gutes Kind.
Tom was truly desperate.	Tom war wirklich verzweifelt.
Tom was very busy today.	Tom war heute sehr beschäftigt.
Tom was very convincing.	Tom war sehr überzeugend.
Tom was very nice to me.	Tom war sehr nett zu mir.
Tom was visibly nervous.	Tom war sichtlich nervös.
Tom was waiting for you.	Tom hat dich erwartet.
Tom was wearing glasses.	Tom trug eine Brille.
Tom was wearing glasses.	Tom hatte eine Brille auf.
Tom wasn't able to swim.	Tom konnte nicht schwimmen.
Tom wasn't able to swim.	Tom war nicht in der Lage zu schwimmen.
Tom wasn't contributing.	Tom leistete keinen Beitrag.
Tom wasn't contributing.	Tom hat nichts beigesteuert.
Tom wasn't feeling well.	Es ging Tom nicht gut.
Tom wasn't ready to die.	Tom war noch nicht bereit zu sterben.
Tom wears a tie to work.	Tom trägt zur Arbeit einen Schlips.
Tom wears a tie to work.	Tom trägt zur Arbeit eine Krawatte.
Tom wears silk neckties.	Tom trägt Seidenkrawatten.
Tom wears thick glasses.	Tom trägt eine dicke Brille.
Tom went into the house.	Tom ging ins Haus.
Tom will be bored stiff.	Tom wird sich zu Tode langweilen.
Tom will call you later.	Tom wird Sie später anrufen.
Tom will call you later.	Tom wird dich später anrufen.
Tom will call you later.	Tom wird euch später anrufen.
Tom will drive you home.	Tom wird Sie nach Hause fahren.
Tom will drive you home.	Tom wird dich nach Hause fahren.
Tom will drive you home.	Tom wird euch nach Hause fahren.
Tom will find something.	Tom wird etwas finden.
Tom will have no choice.	Tom wird keine Wahl haben.
Tom will need some help.	Tom wird Hilfe nötig haben.
Tom will never love you.	Tom wird dich niemals lieben.
Tom will remain at home.	Tom wird zu Hause bleiben.
Tom will return at 2:30.	Tom kommt um 2.30 Uhr wieder.
Tom will return at 2:30.	Tom kommt um 2.30 Uhr zurück.
Tom winked at the girls.	Tom zwinkerte den Mädchen zu.
Tom won the competition.	Tom hat den Wettbewerb gewonnen.
Tom won't go to college.	Tom wird kein College besuchen.
Tom won't pass the test.	Tom wird den Test nicht bestehen.
Tom won't pass the test.	Tom wird die Prüfung nicht bestehen.
Tom won't speak to Mary.	Tom will nicht mit Mary sprechen.
Tom wore a dark sweater.	Tom trug einen dunklen Pullover.
Tom worked all day long.	Tom hat den ganzen Tag gearbeitet.
Tom worked in Australia.	Tom arbeitete in Australien.
Tom works at a pizzeria.	Tom arbeitet in einer Pizzeria.
Tom works in archeology.	Tom ist in der Archäologie tätig.
Tom works on an oil rig.	Tom arbeitet auf einer Bohrinsel.
Tom would never do that.	Das würde Tom nie tun.
Tom would've helped you.	Tom hätte dir geholfen.
Tom wouldn't believe me.	Tom wollte mir nicht glauben.
Tom wouldn't believe us.	Tom würde uns nicht glauben.
Tom wrote Mary a letter.	Tom schrieb Maria einen Brief.
Tom! What are you doing?	Tom! Was tust du da?
Tom's French is perfect.	Toms Französisch ist perfekt.
Tom's car was impounded.	Toms Auto wurde beschlagnahmt.
Tom's children are sick.	Toms Kinder sind krank.
Tom's clothes are dirty.	Toms Kleider sind schmutzig.
Tom's cooking breakfast.	Tom bereitet gerade das Frühstück zu.
Tom's cooking breakfast.	Tom bereitet das Frühstück zu.
Tom's days are numbered.	Toms Tage sind gezählt.
Tom's dog attacked Mary.	Toms Hund griff Mary an.
Tom's dog attacked Mary.	Toms Hund griff Maria an.
Tom's dog attacked Mary.	Toms Hund fiel Maria an.
Tom's father is in jail.	Toms Vater sitzt im Gefängnis.
Tom's father is in jail.	Toms Vater sitzt im Kittchen.
Tom's father is in jail.	Toms Vater sitzt im Knast.
Tom's father is in jail.	Toms Vater sitzt im Bau.
Tom's father was Jewish.	Toms Vater war Jude.
Tom's house burned down.	Toms Haus brannte ab.
Tom's house is for sale.	Toms Haus steht zum Verkauf.
Tom's lawn needs mowing.	Toms Rasen muss gemäht werden.
Tom's life is in danger.	Toms Leben ist in Gefahr.
Tom's mother was crying.	Toms Mutter weinte.
Tom's not in the office.	Tom ist nicht im Büro.
Tom's reply was evasive.	Toms Antwort war ausweichend.
Tom's room wasn't clean.	Toms Zimmer war nicht aufgeräumt.
Tom's smarter than Mary.	Tom ist schlauer als Mary.
Tom's socks don't match.	Toms Socken passen nicht zueinander.
Tom's very hard-working.	Tom ist sehr fleißig.
Tom, I'm talking to you.	Tom, ich rede mit dir!
Tom, are you downstairs?	Bist du unten, Tom?
Tom, will you stop that?	Tom, hörst du auf damit!
Tom, will you stop that?	Lass das sein, Tom!
Tomorrow is another day.	Morgen ist ein anderer Tag.
Tomorrow is my birthday.	Morgen habe ich Geburtstag.
Try to keep up with Tom.	Versuche, mit Tom Schritt zu halten.
Turn left at the corner.	Geh an der Ecke nach links.
Turn your face this way.	Drehe dein Gesicht in diese Richtung.
Turn your face this way.	Drehen Sie Ihr Gesicht in diese Richtung.
Two o'clock would be OK.	Um zwei Uhr würde es mir passen.
Two plus two makes four.	Zwei plus zwei ist vier.
Two plus two makes four.	Zwei plus zwei gibt vier.
Two plus two makes four.	Zwei und zwei macht vier.
Two plus two makes four.	Zwei plus zwei ergibt vier.
Unbuckle your seat belt.	Lös deinen Sitzgurt.
Use the manual override.	Schalte auf Handbetrieb um.
Very few people know it.	Sehr wenige wissen das.
Wait here till I return.	Bleib hier, bis ich zurückkomme!
Wait here till I return.	Bleiben Sie hier, bis ich zurückkomme!
Was anybody else absent?	Hat sonst jemand gefehlt?
Was that you in the car?	Warst das du in dem Auto?
Was that you in the car?	Wart ihr das in dem Auto?
Was that you in the car?	Waren Sie das in dem Auto?
Was there an earthquake?	Gab es ein Erdbeben?
Wash your hands, please.	Wasch dir bitte die Hände.
Wash your hands, please.	Waschen Sie sich bitte die Hände.
Wash your hands, please.	Wascht euch bitte die Hände.
Watch what you're doing!	Pass auf, was du tust!
Watch what you're doing!	Passt auf, was ihr tut!
Watch what you're doing!	Passen Sie auf, was Sie tun!
Watch what you're doing!	Gib acht, was du tust!
Water is very important.	Wasser ist sehr wichtig.
We all stood up at once.	Wir standen alle sofort auf.
We all wished for peace.	Wir alle sehnten uns nach Frieden.
We appreciate your help.	Wir sind Ihnen für Ihre Hilfe dankbar.
We appreciate your help.	Wir sind euch für eure Hilfe dankbar.
We appreciate your help.	Wir sind dir für deine Hilfe dankbar.
We are a family of five.	Wir sind zu fünft in meiner Familie.
We are a family of four.	Wir sind eine vierköpfige Familie.
We are all in agreement.	Wir sind alle einer Meinung.
We are expecting a baby.	Wir erwarten ein Kind.
We are free from danger.	Wir sind außer Gefahr.
We are glad to help you.	Wir helfen Ihnen gerne.
We ate some turtle soup.	Wir aßen Schildkrötensuppe.
We bound him to secrecy.	Wir verpflichteten ihn zur Geheimhaltung.
We bound him to secrecy.	Wir verpflichteten ihn zur Verschwiegenheit.
We can do without those.	Wir können darauf verzichten.
We can do without those.	Auf die können wir verzichten.
We can start over again.	Wir können noch mal von vorne anfangen.
We can start over again.	Wir können noch mal von vorn beginnen.
We can still be friends.	Wir können immer noch Freunde sein.
We can't all be perfect.	Wir können nicht alle perfekt sein.
We can't be too careful.	Wir können gar nicht vorsichtig genug sein.
We can't do that either.	Das können wir auch nicht tun.
We can't guarantee that.	Das können wir nicht garantieren.
We can't just walk away.	Wir können nicht einfach so weggehen.
We can't live like this.	Wir können so nicht leben.
We can't save everybody.	Wir können nicht alle retten.
We can't save everybody.	Wir können nicht jeden retten.
We can't simply give up.	Wir können nicht einfach aufgeben.
We can't stay here long.	Wir können nicht lange hierbleiben.
We chose Tom as captain.	Wir wählten Tom zum Kapitän.
We couldn't protect Tom.	Wir konnten Tom nicht beschützen.
We couldn't see a thing.	Wir konnten überhaupt nichts sehen.
We depend on each other.	Wir sind auf einander angewiesen.
We didn't do it for Tom.	Das haben wir nicht für Tom getan.
We didn't find a weapon.	Wir haben keine Waffe gefunden.
We dined at our uncle's.	Wir haben bei unserem Onkel zu Abend gegessen.
We discussed the matter.	Wir diskutierten die Angelegenheit.
We do this all the time.	Wir tun das ständig.
We don't belong in here.	Wir gehören nicht hier herein.
We don't have any proof.	Wir haben keine Beweise.
We don't have any proof.	Wir haben keinen Beweis.
We don't have any proof.	Wir verfügen über keinen Beweis.
We don't have any rules.	Wir haben keine Regeln.
We don't have any sheep.	Wir haben kein einziges Schaf.
We don't have any sugar.	Wir haben keinen Zucker.
We don't have much time.	Wir haben nicht viel Zeit.
We don't have that long.	So viel Zeit haben wir nicht.
We don't have the money.	Wir haben das Geld nicht.
We don't live in Boston.	Wir wohnen nicht in Boston.
We don't need your help.	Wir brauchen deine Hilfe nicht.
We don't need your help.	Wir bedürfen deiner Hilfe nicht.
We elected him chairman.	Wir wählten ihn zum Vorsitzenden.
We had a large audience.	Wir hatten ein großes Publikum.
We had a secret meeting.	Wir hatten ein geheimes Treffen.
We had a snowball fight.	Wir veranstalteten eine Schneeballschlacht.
We had a very long talk.	Wir haben uns sehr lange unterhalten.
We had to live together.	Wir mussten zusammenwohnen.
We have a cat and a dog.	Wir haben eine Katze und einen Hund.
We have a holiday today.	Heute ist Feiertag.
We have a mutual friend.	Wir haben einen gemeinsamen Freund.
We have a test tomorrow.	Wir haben morgen einen Test.
We have come a long way.	Wir haben es weit gebracht.
We have enough food now.	Wir haben jetzt genug zu essen.
We have enough food now.	Jetzt haben wir genug zu essen.
We have enough food now.	Zu essen haben wir jetzt genug.
We have lunch at midday.	Wir essen gegen Mittag zu Mittag.
We have no alternatives.	Wir haben keine andere Möglichkeit.
We have no alternatives.	Wir haben keine Alternativen.
We have no other option.	Wir haben keine andere Möglichkeit.
We have no school today.	Wir haben heute keine Schule.
We have no school today.	Wir haben heute keinen Unterricht.
We have no trust in him.	Wir vertrauen ihm nicht.
We have only one chance.	Wir haben nur eine Chance.
We have only three days.	Wir haben nur drei Tage.
We have seen three wars.	Wir haben drei Kriege erlebt.
We have several options.	Wir haben mehrere Möglichkeiten.
We have some great news!	Wir haben großartige Neuigkeiten!
We have the same barber.	Wir haben denselben Friseur.
We have three airplanes.	Wir haben drei Flugzeuge.
We have to decide today.	Wir müssen uns heute entscheiden.
We have to wait for him.	Wir müssen auf ihn warten.
We haven't found it yet.	Ich habe es noch nicht gefunden.
We left four days later.	Wir reisten vier Tage später ab.
We left the movie early.	Wir haben das Kino vorzeitig verlassen.
We left the movie early.	Wir haben das Kino während des Films verlassen.
We live near the border.	Wir wohnen in der Nähe der Grenze.
We looked at each other.	Wir schauten uns an.
We must change our plan.	Wir müssen unseren Plan ändern.
We must help each other.	Wir müssen uns gegenseitig helfen.
We must help each other.	Wir müssen einander helfen.
We need to be paid more.	Wir brauchen einen höheren Lohn.
We need to decide today.	Wir müssen uns heute entscheiden.
We need to raise prices.	Wir müssen die Preise erhöhen.
We need you to baby-sit.	Du musst auf das Kind aufpassen.
We needn't have hurried.	Wir hätten uns nicht beeilen müssen.
We needn't have hurried.	Wir hätten uns nicht zu beeilen brauchen.
We never work on Sunday.	Wir arbeiten sonntags nie.
We put sugar in our tea.	Wir machen Zucker in unseren Tee.
We really appreciate it.	Wir wissen es wirklich zu schätzen.
We repainted the church.	Wir haben die Kirche neu angestrichen.
We reported him missing.	Wir meldeten ihn als vermisst.
We see them on occasion.	Wir sehen sie gelegentlich.
We should do this again.	Das müssen wir wieder tun.
We should keep in touch.	Wir sollten in Kontakt bleiben.
We should keep in touch.	Wir sollten den Kontakt halten.
We should wait for help.	Wir sollten auf Hilfe warten.
We skied down the slope.	Wir fuhren die Abfahrt herunter.
We smell with our noses.	Wir riechen mit unserer Nase.
We speak French at home.	Wir sprechen zu Hause Französisch.
We still need more time.	Wir brauchen immer noch mehr Zeit.
We still need your help.	Wir brauchen noch immer deine Hilfe.
We still need your help.	Wir brauchen noch immer eure Hilfe.
We still need your help.	Wir brauchen noch immer Ihre Hilfe.
We sure don't want that.	Das brauchen wir doch nicht!
We talked for some time.	Wir unterhielten uns einige Zeit.
We talked for some time.	Wir haben uns einige Zeit unterhalten.
We tried that yesterday.	Das haben wir gestern versucht.
We used to live in Kobe.	Wir lebten früher in Kobe.
We used to live in Kobe.	Wir haben früher in Kōbe gewohnt.
We went as far as Kyoto.	Wir fuhren bis nach Kyōto.
We were always together.	Wir waren stets zusammen.
We were looking for Tom.	Wir haben Tom gesucht.
We were welcomed warmly.	Wir wurden herzlich begrüßt.
We will visit them soon.	Wir werden sie bald besuchen.
We won't stand a chance.	Wir werden keine Chance haben.
We'd appreciate a reply.	Wir würden uns über eine Antwort freuen.
We'd better go help Tom.	Vielleicht sollten wir Tom helfen.
We'd better go home now.	Wir sollten jetzt besser nach Hause gehen.
We'd better have a talk.	Wir sollten uns mal unterhalten.
We'll begin immediately.	Wir fangen sofort an.
We'll have a great time.	Wir werden viel Spaß haben.
We'll have loads of fun.	Wir werden jede Menge Spass haben.
We'll have to come back.	Wir werden zurückkommen müssen.
We'll have to try again.	Wir müssen es wohl nochmal versuchen.
We'll never forget that.	Wir werden das nicht vergessen.
We'll take what we need.	Wir werden uns nehmen, was wir benötigen.
We'll take what we need.	Wir werden uns nehmen, was wir brauchen.
We're all inexperienced.	Wir sind alle unerfahren.
We're doing it together.	Wir machen es zusammen.
We're going home by car.	Wir fahren mit dem Auto nach Hause.
We're going to miss you.	Du wirst uns fehlen.
We're going to the mall.	Wir gehen einkaufen.
We're having a barbecue.	Wir grillen gerade.
We're here to help them.	Wir sind hier, um ihnen zu helfen.
We're leaving here soon.	Wir brechen bald auf.
We're not desperate yet.	Noch sind wir nicht verzweifelt.
We're not young anymore.	Wir sind nicht mehr jung.
We're on speaking terms.	Wir reden miteinander.
We're on speaking terms.	Wir sind miteinander bekannt.
We're partners in crime.	Wir sind Komplizen.
We're very disappointed.	Wir sind schwer enttäuscht.
We're very good friends.	Wir sind sehr gut befreundet.
We're very proud of you.	Wir sind sehr stolz auf dich.
We're wasting time here.	Wir verschwenden hier Zeit.
We've all been laid off.	Wir sind alle entlassen worden.
We've already done that.	Das haben wir bereits getan.
We've been there before.	Wir waren dort schon mal.
We've got to be careful.	Wir müssen vorsichtig sein.
We've looked everywhere.	Wir haben überall nachgesehen.
We've looked everywhere.	Wir haben überall gesucht.
Well begun is half done.	Frisch gewagt ist halb gewonnen.
Well, let's talk turkey.	Nun, reden wir mal Klartext!
Well, let's talk turkey.	Nun, lass uns offen miteinander sprechen!
Were there any problems?	Gab es irgendwelche Probleme?
Were there any problems?	Gab es Probleme?
Were they heavily armed?	Waren sie schwer bewaffnet?
Were you at the concert?	Waren Sie im Konzert?
Were you born in a barn?	Wurdest du in einer Scheune geboren?
Were you born in a barn?	Bist du in einer Scheune geboren worden?
Were you home yesterday?	Warst du gestern zu Hause?
Were you married to Tom?	Warst du mit Tom verheiratet?
Were you married to Tom?	Waren Sie mit Tom verheiratet?
Were you out last night?	Warst du letzte Nacht draußen?
What I need is a friend.	Was ich brauche, ist ein Freund.
What I'm saying is true.	Was ich sage, stimmt.
What a beautiful flower!	Was für eine schöne Blume!
What a beautiful garden!	Was für ein schöner Garten.
What a beautiful sunset!	Was für eine schöner Sonnenuntergang!
What a big ship that is!	Was für ein großes Schiff das ist!
What a cute little girl!	Was für ein süßes kleines Mädchen!
What a lovely day it is!	Was für ein prachtvoller Tag das ist!
What are we doing today?	Was machen wir heute?
What are we waiting for?	Worauf warten wir?
What are you crying for?	Wieso weinst du?
What are you crying for?	Warum weinst du?
What are you doing here?	Was machst du hier?
What are you driving at?	Worauf willst du hinaus?
What are you getting at?	Worauf willst du hinaus?
What are you guys doing?	Was macht ihr?
What are you guys doing?	Was macht ihr da denn?
What are you guys up to?	Was habt ihr Kerle vor?
What are you guys up to?	Was führt ihr Kerle im Schilde?
What are you guys up to?	Jungs, was habt ihr vor?
What are you guys up to?	Was habt ihr vor, Mädels?
What are you guys up to?	Was habt ihr vor, Leute?
What are you hinting at?	Was willst du damit andeuten?
What are you looking at?	Was siehst du dir an?
What are you suggesting?	Was willst du damit andeuten?
What choices do we have?	Welche Wahlmöglichkeiten haben wir?
What color is Tom's car?	Welche Farbe hat Toms Auto?
What color is Tom's dog?	Welche Farbe hat Toms Hund?
What color is your hair?	Was für eine Haarfarbe hast du?
What color is your hair?	Welche Farbe hat dein Haar?
What color is your hair?	Welche Haarfarbe hast du?
What did you buy it for?	Wofür hast du es gekauft?
What did you talk about?	Worüber habt ihr gesprochen?
What did you talk about?	Wovon hast du gesprochen?
What do I get in return?	Was bekomme ich als Gegenleistung?
What do I get out of it?	Was hätte ich davon?
What do I need this for?	Wofür brauche ich das?
What do you do in Japan?	Was machen Sie in Japan?
What do you like to eat?	Was isst du gerne?
What do you like to eat?	Was essen Sie gerne?
What do you think I did?	Was denkst du, habe ich getan?
What do you think of it?	Was denkst du darüber?
What do you want anyway?	Was willst du übrigens?
What do you want anyway?	Was willst du eigentlich?
What do you want anyway?	Was wollen Sie übrigens?
What do you want anyway?	Was wollt ihr übrigens?
What do you want it for?	Wofür möchtest du das?
What do you want to buy?	Was willst du kaufen?
What do you want to buy?	Was möchten Sie kaufen?
What do you want to eat?	Was wollt ihr essen?
What do you want to eat?	Was wollen Sie essen?
What do you want to eat?	Was willst du essen?
What do you want to say?	Was willst du sagen?
What do you want to say?	Was wollen Sie sagen?
What do you want to see?	Was willst du sehen?
What do you want to see?	Was wollen Sie sehen?
What does PTA stand for?	Wofür steht "PTA"?
What does USB stand for?	Was bedeutet USB?
What does USB stand for?	Wofür steht „USB“?
What does all that mean?	Was hat das alles zu bedeuten?
What does he mean to do?	Was hat er vor?
What does he plan to do?	Was hat er vor?
What does he want to do?	Was will er machen?
What does he want to do?	Was will er tun?
What does it taste like?	Wonach schmeckt es?
What does it taste like?	Wonach schmeckt sie?
What does it taste like?	Wonach schmeckt er?
What does it taste like?	Wie schmeckt er?
What does it taste like?	Wie schmeckt sie?
What does it taste like?	Wie schmeckt es?
What does she look like?	Wie sieht sie aus?
What does that sign say?	Was steht auf diesem Schild?
What does this pen cost?	Wie teuer ist dieser Füller?
What don't I understand?	Was verstehe ich nicht?
What else does Tom have?	Was hat Tom sonst noch?
What else does Tom need?	Was braucht Tom sonst noch?
What else does Tom want?	Was will Tom sonst noch?
What exactly did you do?	Was genau hast du getan?
What exactly did you do?	Was genau habt ihr getan?
What exactly did you do?	Was genau haben Sie getan?
What good would that do?	Was nützte das?
What happened last week?	Was geschah letzte Woche?
What happened out there?	Was ist dort draußen passiert?
What happened to my bag?	Was ist mit meiner Tasche passiert?
What happened to my car?	Was ist mit meinem Auto passiert?
What happens if we fail?	Was, wenn wir scheitern?
What happens if we fail?	Was passiert, wenn wir scheitern?
What has Tom done wrong?	Was hat Tom falsch gemacht?
What has he done to you?	Was hat er dir getan?
What have we overlooked?	Was haben wir übersehen?
What have you told them?	Was hast du ihnen erzählt?
What if someone sees us?	Was, wenn uns jemand sieht?
What is Gestalt Therapy?	Was ist Gestalttherapie?
What is it you're doing?	Was machst du da gerade?
What is that over there?	Was ist das da drüben?
What is the temperature?	Wie ist die Temperatur?
What is your blood type?	Was ist Ihre Blutgruppe?
What is your blood type?	Welche Blutgruppe hast du?
What is your suggestion?	Was ist dein Vorschlag?
What just happened here?	Was ist hier gerade passiert?
What kind of play is it?	Was für eine Art Spiel ist das?
What made you come here?	Was hat dich hierher verschlagen?
What made you come here?	Was hat dich hergeführt?
What nationality is Tom?	Welche Staatsangehörigkeit hat Tom?
What shall I begin with?	Womit soll ich anfangen?
What shall I do with it?	Wie soll ich damit umgehen?
What shall I do with it?	Was soll ich damit machen?
What should I have done?	Was hätte ich tun sollen?
What should we do first?	Was sollten wir als Erstes tun?
What should we do first?	Was sollten wir als Erstes machen?
What sports do you like?	Welche Sportarten magst du?
What teams were playing?	Welche Mannschaften haben gespielt?
What they did was wrong.	Was sie machten, war falsch.
What time do you get up?	Um wie viel Uhr stehst du auf?
What time does it close?	Wann schließt es?
What time does it start?	Wann fängt es an?
What time does it start?	Wann beginnt es?
What time is it, anyway?	Nebenbei, wie viel Uhr haben wir jetzt?
What time is your plane?	Wann geht dein Flug?
What time is your plane?	Wann geht Ihr Flug?
What time is your train?	Wann fährt dein Zug?
What time is your train?	Wann fährt Ihr Zug?
What was Tom's reaction?	Wie hat Tom reagiert?
What was Tom's response?	Was war Toms Antwort?
What was Tom's response?	Was hat Tom geantwortet?
What was all that about?	Was hatte das denn zu bedeuten?
What was his name again?	Wie war sein Name nochmal?
What was his name again?	Wie hieß er gleich?
What was the boy called?	Wie hieß der Junge noch mal?
What was the boy called?	Wie hieß der Junge?
What was the fight over?	Worum ging es bei dem Streit?
What were they thinking?	Was haben sie gedacht?
What will become of her?	Was wird aus ihr werden?
What will happen to her?	Was wird mit ihr geschehen?
What year were you born?	In welchem Jahr wurdest du geboren?
What'll Tom do about it?	Was wird Tom dagegen unternehmen?
What'll Tom do tomorrow?	Was wird Tom morgen tun?
What're you doing today?	Was macht ihr heute?
What're you up to today?	Was hast du heute vor?
What're you up to today?	Was habt ihr heute vor?
What're you up to today?	Was haben Sie heute vor?
What're you waiting for?	Worauf wartest du?
What's Tom listening to?	Was hört Tom gerade?
What's Tom's dog's name?	Wie heißt Toms Hund?
What's he talking about?	Wovon spricht er?
What's in that cupboard?	Was ist in dem Schrank da?
What's in your suitcase?	Was ist in deinem Koffer?
What's that awful smell?	Was riecht hier so furchtbar?
What's that awful sound?	Was ist das für ein schreckliches Geräusch?
What's that awful sound?	Was ist das für ein furchtbares Geräusch?
What's the horse's name?	Wie heißt das Pferd?
What's the horse's name?	Auf welchen Namen hört das Pferd?
What's the next station?	Wie heißt die nächste Haltestelle?
What's the next station?	Welche Station kommt als nächstes?
What's the next station?	Welches ist der nächste Bahnhof?
What's with the candles?	Wozu die Kerzen?
What's wrong with yours?	Was habt ihr denn?
What's your aim in life?	Was ist Ihr Lebensziel?
What's your aim in life?	Was ist dein Lebensziel?
What's your explanation?	Was ist deine Erklärung?
What's your explanation?	Was ist Ihre Erklärung?
What's your explanation?	Was ist eure Erklärung?
What's your middle name?	Was ist dein zweiter Vorname?
What's your mother like?	Wie ist deine Mutter so?
What's your mother like?	Wie ist eure Mutter so?
What's your mother like?	Wie ist Ihre Mutter so?
What's your nationality?	Welche Staatsangehörigkeit haben Sie?
What's your room number?	Wie lautet Ihre Zimmernummer?
What's your room number?	Wie lautet deine Zimmernummer?
What's your room number?	Wie lautet eure Zimmernummer?
What's your wife's name?	Wie heißt deine Frau?
When are you going home?	Wann gehst du nach Hause?
When can we get started?	Wann können wir loslegen?
When did he arrive here?	Wann kam er hier an?
When did you go to work?	Wann bist du zur Arbeit gegangen?
When did you go to work?	Wann sind Sie zur Arbeit gegangen?
When did you go to work?	Wann seid ihr zur Arbeit gegangen?
When do you play tennis?	Wann spielst du Tennis?
When do you play tennis?	Wann spielt ihr Tennis?
When do you play tennis?	Wann spielen Sie Tennis?
When do you return home?	Wann kommst du zurück nach Hause?
When do you return home?	Wann kommt ihr zurück nach Hause?
When do you return home?	Wann kommen Sie zurück nach Hause?
When does the bank open?	Wann öffnet die Bank?
When does the bus leave?	Wann fährt der Bus ab?
When is Tom coming home?	Wann kommt Tom nach Hause?
When it rains, it pours.	Ein Unglück kommt selten allein.
When was the box opened?	Wann wurde die Kiste geöffnet?
When were you in Boston?	Wann warst du in Boston?
When were you in Boston?	Wann wart ihr in Boston?
When were you in Boston?	Wann waren Sie in Boston?
When will you come back?	Wann kommst du zurück?
When will you come home?	Wann kommst du heim?
When will you come home?	Wann kommst du nach Hause?
Where are our umbrellas?	Wo sind unsere Regenschirme?
Where are the lifeboats?	Wo sind die Rettungsboote?
Where are the paintings?	Wo sind die Gemälde?
Where are you on Monday?	Wo seid ihr am Montag?
Where are you taking me?	Wo bringen Sie mich hin?
Where are you taking me?	Wo bringst du mich hin?
Where are you taking me?	Wo bringt ihr mich hin?
Where are your children?	Wo sind deine Kinder?
Where can I buy a brush?	Wo kann ich eine Bürste bekommen?
Where can I find an ATM?	Wo gibt es hier einen Geldautomaten?
Where can I find an ATM?	Wo finde ich einen Geldautomat?
Where can I find an ATM?	Wo ist der nächste Geldautomat?
Where can I get the map?	Wo kann ich diese Landkarte bekommen?
Where can I park my car?	Wo kann ich meinen Wagen parken?
Where can I try this on?	Wo kann ich das anprobieren?
Where can one buy books?	Wo kann man Bücher kaufen?
Where did I put my keys?	Wo habe ich meine Schlüssel hingetan?
Where did he learn this?	Wo hat er das gelernt?
Where did he learn this?	Wo hat er das erfahren?
Where did she buy books?	Wo kaufte sie Bücher?
Where did you come from?	Woher kommst du?
Where did you guys meet?	Wo habt ihr euch kennengelernt?
Where did you hear that?	Wo hast du das gehört?
Where did you hear that?	Wo habt ihr das gehört?
Where did you hear that?	Wo haben Sie das gehört?
Where do you want to go?	Wohin willst du gehen?
Where does she live now?	Wo wohnt sie jetzt?
Where does this book go?	Wo kommt dieses Buch hin?
Where has the time gone?	Wo ist die Zeit geblieben?
Where is he running now?	Wo rennt er jetzt?
Where is the restaurant?	Wo ist das Restaurant?
Where is the toothpaste?	Wo ist die Zahnpasta?
Where on earth were you?	Wo zum Teufel warst du?
Where on earth were you?	Wo in aller Welt bist du gewesen?
Where should I put this?	Wo soll ich das hinlegen?
Where should I put this?	Wo soll ich das ablegen?
Where were your parents?	Wo waren deine Eltern?
Where's Tom working now?	Wo arbeitet Tom jetzt?
Where's the dining room?	Wo ist das Esszimmer?
Where's your black suit?	Wo ist dein schwarzer Anzug?
Where's your black suit?	Wo ist Ihr schwarzer Anzug?
Where's your new friend?	Wo ist dein neuer Freund?
Which one do you prefer?	Welches gefällt Ihnen besser?
Which one do you prefer?	Welches gefällt dir besser?
Which one do you prefer?	Welches ist dir lieber?
Which one do you prefer?	Welches ziehst du vor?
Which one do you prefer?	Welches bevorzugst du?
Which skirt do you like?	Welcher Rock gefällt dir?
Which team won the game?	Welches Team hat das Spiel gewonnen?
Which way are you going?	In welche Richtung gehen Sie?
Which way is Tom's room?	In welcher Richtung liegt Toms Zimmer?
Who are you laughing at?	Mit wem lachst du da?
Who are you laughing at?	Wen lachst du da aus?
Who ate all the cookies?	Wer hat die ganzen Keks gegessen?
Who ate the last cookie?	Wer hat den letzten Keks gegessen?
Who benefited from that?	Wer hatte etwas davon?
Who changed the subject?	Wer hat das Thema gewechselt?
Who did Confucius teach?	Wen hat Konfuzius unterrichtet?
Who does this belong to?	Wem gehört das?
Who gave away the bride?	Wer hat die Braut zum Altar geführt?
Who is that young woman?	Wer ist diese junge Frau?
Who is this pretty girl?	Wer ist dieses hübsche Mädchen?
Who lives in that house?	Wer lebt in diesem Haus?
Who lives in this house?	Wer wohnt in diesem Haus?
Who taught you to write?	Wer hat dir das Schreiben beigebracht?
Who taught you to write?	Wer hat euch das Schreiben beigebracht?
Who taught you to write?	Wer hat Ihnen das Schreiben beigebracht?
Who told you to do that?	Wer hieß dich, das zu tun?
Who took these pictures?	Wer hat diese Fotos gemacht?
Who wants a bit of cake?	Wer möchte ein Stückchen Kuchen?
Who wants hot chocolate?	Wer will heiße Schokolade?
Who were you talking to?	Mit wem hast du gesprochen?
Who were you there with?	Mit wem warst du da?
Who were you there with?	Mit wem wart ihr dort?
Who were you there with?	Mit wem sind Sie dort gewesen?
Who wrote these letters?	Wer hat diese Briefe geschrieben?
Who's coming for dinner?	Wer kommt zum Abendessen?
Who's older, you or Tom?	Wer ist älter, du oder Tom?
Who's that cute redhead?	Wer ist denn die süße Rothaarige da?
Whose glasses are these?	Wem gehört diese Brille?
Whose glasses are these?	Wessen Brille ist das?
Whose newspaper is this?	Wessen Zeitung ist das?
